iter	Passed	Remaining
956	5395	242
957	5402	236
958	5407	231
959	5412	225
960	5418	219
961	5424	214
962	5430	208
963	5436	203
964	5441	197
965	5447	191
966	5453	186
967	5459	180
968	5465	174
969	5471	169
970	5476	163
971	5482	157
972	5487	152
973	5492	146
974	5498	140
975	5503	135
976	5508	129
977	5514	124
978	5519	118
979	5524	112
980	5530	107
981	5535	101
982	5541	95
983	5547	90
984	5552	84
985	5557	78
986	5564	73
987	5571	67
988	5576	62
989	5582	56
990	5587	50
991	5593	45
992	5598	39
993	5603	33
994	5608	28
995	5613	22
996	5619	16
997	5624	11
998	5629	5
999	5635	0
